"rf_cum_3_day","temperature","ws","deg_from_north","dow","working_days","hour","pre_peak_hour","pm10"
0,15.2,2,58,5,1,8,1,25.4
2.4,4.5,1.5,19,1,1,4,0,13.3000001907
0.2,8.3999996185,1.2999999523,25,5,1,8,1,114.4000015259
3,15.1999998093,2,137,4,1,5,1,8.8000001907
16.6,15.8999996185,4.6999998093,159,3,1,11,0,7
0.6,14.8000001907,5.1999998093,18,7,0,8,1,10.1999998093
9.4,15.8999996185,1.2999999523,24,6,0,2,0,4.9000000954
0,23.8999996185,2,179,3,1,14,0,36.7000007629
0,25,1.4,36,6,0,3,0,37.5
13.2,22.3,3.8,17,3,1,17,0,7.1
0.2,13.1999998093,0.8999999762,3,7,0,10,0,9.6999998093
4.6,9.3000001907,0.8000000119,21,7,0,22,0,12.1999998093
0,24.7999992371,1.3999999762,13,4,1,12,0,26
30.4,16.2,4.6,143,6,0,11,0,8.9
6.4,5.5,1.7,94,7,0,4,0,8.7
0,15,1,10,2,1,2,0,24.3
0,10.8000001907,1,66,2,1,3,0,10.5
0.4,14,2.5,165,6,0,10,0,21.1000003815
0.8,14.3999996185,1.3999999762,9,3,1,3,0,20.1000003815
63.2,20.5,1.6,23,6,0,9,0,19.4
14.2,18.7999992371,3,4,6,0,9,0,14.1000003815
1,15.8000001907,2,85,5,1,4,0,7.3000001907
5.8,16.2,1.2,114,2,1,3,0,17.2
0,17.8999996185,1.5,126,5,1,6,1,15.5
9,28,3.2,11,1,1,11,0,26.4
20.2,15.6999998093,0.8000000119,95,7,0,3,0,6.6999998093
10.6,18.2999992371,6.6999998093,126,5,1,13,0,12.6000003815
1,15.6000003815,2,91,5,1,7,1,36.5999984741
1,13.3000001907,1.2999999523,108,2,1,2,0,4.5
5.8,16.8,2.8,154,2,1,9,0,12.8
2,28.2000007629,3.0999999046,167,1,1,18,0,30.5
6.6,14.1000003815,3.0999999046,11,5,1,3,0,3.0999999046
0.2,15.8999996185,2.2999999523,69,1,1,11,0,13.6000003815
0.8,5.4,1.6,2,6,0,7,1,35.4
0,16.2,3.2,146,2,1,8,1,35
0,23.2000007629,2.2000000477,33,3,1,19,0,70.4000015259
9,20.6000003815,3.7000000477,165,6,0,18,0,4.1999998093
0.6,10.5,2.8,23,5,1,18,0,8.6
0.4,16.5,5.3,15,1,1,15,1,8.7
0,17.8,1.2,7,3,1,2,0,14.6
4.4,17.4,3.3,155,2,1,16,1,18.9
1,19.2000007629,2,142,6,0,0,0,7.8000001907
9,16.7999992371,3.4000000954,151,5,1,12,0,23.5
0.6,6.7,2.2,29,4,1,5,1,16.1
3,21.1000003815,0.6999999881,135,4,1,22,0,14.8999996185
0.8,17.6000003815,3.5,96,3,1,16,1,17.6000003815
12,16.3999996185,2.9000000954,58,4,1,7,1,10.1000003815
0,19.1000003815,3,174,6,0,22,0,15.8999996185
